,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
309,assam,2018,2,Others,46852,31425800.0
310,assam,2018,3,Recharge & bill payments,1275136,254569000.0
311,assam,2018,3,Peer-to-peer payments,843571,3424140000.0
312,assam,2018,3,Merchant payments,159532,96783800.0
313,assam,2018,3,Financial Services,22677,4741120.0
314,assam,2018,3,Others,50935,30904200.0
315,assam,2018,4,Recharge & bill payments,1703488,317661000.0
316,assam,2018,4,Peer-to-peer payments,1279089,5284780000.0
317,assam,2018,4,Merchant payments,667293,240563000.0
318,assam,2018,4,Financial Services,28035,6331910.0
319,assam,2018,4,Others,56267,38689800.0
320,assam,2019,1,Recharge & bill payments,1993220,400282000.0
321,assam,2019,1,Peer-to-peer payments,1976310,7291430000.0
322,assam,2019,1,Merchant payments,494871,266645000.0
323,assam,2019,1,Financial Services,20162,4612450.0
324,assam,2019,1,Others,48442,39127500.0
325,assam,2019,2,Recharge & bill payments,2512932,539316000.0
326,assam,2019,2,Peer-to-peer payments,2293770,10035200000.0
327,assam,2019,2,Merchant payments,573646,326845000.0
328,assam,2019,2,Financial Services,13654,4037220.0
329,assam,2019,2,Others,60927,49538700.0
330,assam,2019,3,Peer-to-peer payments,2713539,11835800000.0
331,assam,2019,3,Recharge & bill payments,2645302,639885000.0
332,assam,2019,3,Merchant payments,513728,421380000.0
333,assam,2019,3,Financial Services,8606,6403460.0
334,assam,2019,3,Others,61396,46973700.0
335,assam,2019,4,Peer-to-peer payments,3222143,14083300000.0
336,assam,2019,4,Recharge & bill payments,2937800,704119000.0
337,assam,2019,4,Merchant payments,544053,456318000.0
338,assam,2019,4,Financial Services,9621,3492260.0
339,assam,2019,4,Others,46893,34707800.0
340,assam,2020,1,Peer-to-peer payments,4058740,18977400000.0
341,assam,2020,1,Recharge & bill payments,3897975,971723000.0
342,assam,2020,1,Merchant payments,792646,675424000.0
343,assam,2020,1,Financial Services,10173,7054330.0
344,assam,2020,1,Others,49326,36781400.0
345,assam,2020,2,Recharge & bill payments,6045321,1612520000.0
346,assam,2020,2,Peer-to-peer payments,3648386,17358400000.0
347,assam,2020,2,Merchant payments,742400,749018000.0
348,assam,2020,2,Financial Services,19814,18130000.0
349,assam,2020,2,Others,49278,28255200.0
350,assam,2020,3,Peer-to-peer payments,5637893,26646600000.0
351,assam,2020,3,Recharge & bill payments,5292154,1627280000.0
352,assam,2020,3,Merchant payments,1383230,1492480000.0
353,assam,2020,3,Financial Services,24954,28453000.0
354,assam,2020,3,Others,59480,36605900.0
355,assam,2020,4,Peer-to-peer payments,7538478,36013300000.0
356,assam,2020,4,Recharge & bill payments,5383505,1662190000.0
357,assam,2020,4,Merchant payments,2392184,2466910000.0
358,assam,2020,4,Financial Services,29764,32314800.0
359,assam,2020,4,Others,79523,51901600.0
360,assam,2021,1,Peer-to-peer payments,9449096,45476100000.0
361,assam,2021,1,Recharge & bill payments,6494111,2103020000.0
362,assam,2021,1,Merchant payments,3459132,3657260000.0
363,assam,2021,1,Financial Services,34049,41291000.0
364,assam,2021,1,Others,75672,48814700.0
365,assam,2021,2,Peer-to-peer payments,11668399,51521400000.0
366,assam,2021,2,Recharge & bill payments,9058005,2657680000.0
367,assam,2021,2,Merchant payments,4562669,4914750000.0
368,assam,2021,2,Financial Services,49671,46106000.0
369,assam,2021,2,Others,94161,52549900.0
370,assam,2021,3,Peer-to-peer payments,15617592,64131800000.0
371,assam,2021,3,Recharge & bill payments,10284267,3248360000.0
372,assam,2021,3,Merchant payments,7431371,8208710000.0
373,assam,2021,3,Financial Services,39479,43889800.0
374,assam,2021,3,Others,131732,67715000.0
375,assam,2021,4,Peer-to-peer payments,21393962,86801600000.0
376,assam,2021,4,Merchant payments,12895755,13378800000.0
377,assam,2021,4,Recharge & bill payments,11484376,3842000000.0
378,assam,2021,4,Financial Services,60724,65456500.0
379,assam,2021,4,Others,185544,97116800.0
380,assam,2022,1,Peer-to-peer payments,27156085,108855000000.0
381,assam,2022,1,Merchant payments,19011883,18833100000.0
382,assam,2022,1,Recharge & bill payments,12474674,4424040000.0
383,assam,2022,1,Financial Services,68432,73258000.0
384,assam,2022,1,Others,178812,94659200.0
385,assam,2022,2,Peer-to-peer payments,33879530,123830000000.0
386,assam,2022,2,Merchant payments,28377534,24333300000.0
387,assam,2022,2,Recharge & bill payments,13858113,4814700000.0
388,assam,2022,2,Financial Services,50785,55549200.0
389,assam,2022,2,Others,168763,77624100.0
390,assam,2022,3,Peer-to-peer payments,37000266,127265000000.0
391,assam,2022,3,Merchant payments,34935460,28790000000.0
392,assam,2022,3,Recharge & bill payments,13974568,5295140000.0
393,assam,2022,3,Financial Services,65066,62882400.0
394,assam,2022,3,Others,138451,76363600.0
395,assam,2022,4,Peer-to-peer payments,44828832,150693000000.0
396,assam,2022,4,Merchant payments,43605784,36033800000.0
397,assam,2022,4,Recharge & bill payments,15344794,5773980000.0
398,assam,2022,4,Financial Services,74414,75960400.0
399,assam,2022,4,Others,127443,76370100.0
400,bihar,2018,1,Recharge & bill payments,3159922,375559000.0
401,bihar,2018,1,Peer-to-peer payments,2052089,5295350000.0
402,bihar,2018,1,Financial Services,194295,33999400.0
403,bihar,2018,1,Merchant payments,138885,139828000.0
404,bihar,2018,1,Others,279111,201025000.0
405,bihar,2018,2,Recharge & bill payments,4346849,700650000.0
406,bihar,2018,2,Peer-to-peer payments,3447898,12141400000.0
407,bihar,2018,2,Merchant payments,311487,318572000.0
408,bihar,2018,2,Financial Services,267433,45332500.0
409,bihar,2018,2,Others,258711,300128000.0
410,bihar,2018,3,Peer-to-peer payments,8893764,18695900000.0
